Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D12,SK6805-EC15,SK6805-EC15,11.83125,-79.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,76.63125,-79.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-79.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,76.63125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,98.23125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,98.23125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-40.742507,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-76.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,97.325,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-76.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,97.325,-76.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,75.725,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-76.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,97.325,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,75.725,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,75.725,-76.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,75.725,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,97.325,-37.880274,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,96.79375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,96.79375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-74.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,96.79375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-74.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,96.79375,-74.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,75.19375,-74.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,75.19375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,75.19375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-74.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,75.19375,-15.680422,90.0,top
D15,SK6805-EC15,SK6805-EC15,14.793473,-35.25,0.0,top
D15,SK6805-EC15,SK6805-EC15,36.393473,-15.75,0.0,top
D15,SK6805-EC15,SK6805-EC15,57.993473,-74.25,0.0,top
D15,SK6805-EC15,SK6805-EC15,79.593473,-54.75,0.0,top
D15,SK6805-EC15,SK6805-EC15,14.793473,-15.75,0.0,top
