Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D19,SK6805-EC15,SK6805-EC15,42.56119,-14.101132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,20.96119,-33.601132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,42.56119,-33.601132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,20.96119,-14.101132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,42.56119,-53.101132,-90.0,top
D2,SK6805-EC15,SK6805-EC15,15.08125,-29.881105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,58.28125,-29.881105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,36.68125,-49.381105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,36.68125,-29.881105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,15.08125,-49.381105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,58.28125,-49.381105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,58.28125,-10.381105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,15.08125,-10.381105,-90.0,top
D2,SK6805-EC15,SK6805-EC15,36.68125,-10.381105,-90.0,top
D3,SK6805-EC15,SK6805-EC15,17.8,-28.311434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,39.4,-47.811434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,61.0,-47.811434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,61.0,-8.811434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,17.8,-8.811434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,17.8,-47.811434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,61.0,-28.311434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,39.4,-28.311434,-90.0,top
D3,SK6805-EC15,SK6805-EC15,39.4,-8.811434,-90.0,top
D4,SK6805-EC15,SK6805-EC15,64.125,-49.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,42.525,-49.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,20.925,-10.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,64.125,-10.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,20.925,-30.115653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,42.525,-30.115653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,20.925,-49.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,64.125,-30.115653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,42.525,-10.615653,-90.0,top
D5,SK6805-EC15,SK6805-EC15,66.96875,-51.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,23.76875,-12.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,45.36875,-51.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,66.96875,-12.257493,-90.0,top
